Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion
94,C099,69,5,02-Mar-23,14:51:08,11-Mar-23,08:14:49,Purnia,Holi
100,C055,42,5,09-May-23,05:50:07,17-May-23,05:30:26,Bhiwani,All Occasions
109,C074,50,5,27-Feb-23,15:35:48,01-Mar-23,08:38:56,Gandhidham,Holi
122,C083,24,5,03-Oct-23,09:04:23,13-Oct-23,03:15:14,Gulbarga,Birthday
126,C040,19,5,04-Feb-23,02:28:24,13-Feb-23,13:16:38,Dharmavaram,Valentine's Day
130,C070,10,5,22-Apr-23,13:32:41,27-Apr-23,22:01:54,Darbhanga,Birthday
131,C078,3,5,04-Feb-23,20:30:50,11-Feb-23,08:29:03,Satara,Valentine's Day
133,C018,43,5,10-Nov-23,15:51:54,16-Nov-23,11:22:51,Tiruppur,Diwali
134,C036,69,5,05-Mar-23,19:12:46,14-Mar-23,04:58:29,Malda,Holi
144,C090,51,5,18-Jan-23,09:01:03,23-Jan-23,03:23:15,Srinagar,All Occasions
145,C055,59,5,29-Aug-23,16:52:56,03-Sep-23,13:04:25,Kumbakonam,Raksha Bandhan
146,C030,52,5,13-Feb-23,18:23:55,16-Feb-23,04:07:37,Vijayawada,Valentine's Day
150,C092,27,5,26-Aug-23,07:18:17,29-Aug-23,16:56:13,Bidar,Raksha Bandhan
154,C049,45,5,21-Nov-23,23:14:18,25-Nov-23,02:04:59,Indore,Birthday
164,C063,14,5,25-Apr-23,02:04:02,27-Apr-23,11:49:33,Berhampore,Birthday
165,C058,40,5,06-Aug-23,13:11:16,10-Aug-23,08:37:14,Lucknow,Anniversary
187,C008,49,5,11-Feb-23,21:10:41,16-Feb-23,09:34:09,Anantapur,Valentine's Day
188,C067,22,5,18-Sep-23,01:38:33,25-Sep-23,14:02:12,Serampore,All Occasions
190,C096,60,5,09-Nov-23,12:33:49,13-Nov-23,13:41:24,Darbhanga,Diwali
192,C060,64,5,20-Aug-23,12:28:32,21-Aug-23,02:11:18,Vijayanagaram,Raksha Bandhan
195,C037,67,5,10-Apr-23,05:33:53,17-Apr-23,07:51:40,Jamalpur,Anniversary
199,C093,70,5,16-Aug-23,01:54:30,19-Aug-23,16:24:59,Bareilly,Birthday
200,C067,23,5,03-Jan-23,20:04:16,08-Jan-23,23:18:52,Agartala,Anniversary
202,C089,36,5,27-Jul-23,08:13:48,01-Aug-23,03:02:01,Bhimavaram,Birthday
203,C039,9,5,29-Aug-23,05:39:00,08-Sep-23,22:40:14,Vijayanagaram,Raksha Bandhan
205,C022,46,5,06-Jul-23,05:17:21,09-Jul-23,11:47:12,Davanagere,Anniversary
208,C001,18,5,02-Apr-23,04:30:47,12-Apr-23,07:06:36,Kulti,Birthday
211,C043,31,5,22-Oct-23,18:14:59,29-Oct-23,17:40:03,Orai,All Occasions
213,C022,42,5,14-Feb-23,08:26:18,24-Feb-23,08:58:11,Dehradun,All Occasions
219,C027,16,5,05-Mar-23,00:36:07,11-Mar-23,10:36:05,Bhimavaram,Holi
222,C099,6,5,26-Feb-23,05:57:25,07-Mar-23,18:20:50,Guntur,Holi
225,C093,52,5,05-Feb-23,12:12:26,06-Feb-23,18:01:06,Arrah,Valentine's Day
236,C044,23,5,03-Sep-23,06:33:52,11-Sep-23,02:10:18,Panvel,Anniversary
240,C074,5,5,25-Mar-23,06:03:38,30-Mar-23,15:43:28,Darbhanga,All Occasions
246,C017,69,5,28-Feb-23,23:24:33,08-Mar-23,00:38:49,Agra,Holi
248,C044,19,5,08-Feb-23,08:43:41,10-Feb-23,04:15:01,Alwar,Valentine's Day
250,C086,37,5,08-Nov-23,15:07:27,09-Nov-23,01:32:06,Korba,Diwali
254,C093,1,5,07-Jul-23,00:09:44,15-Jul-23,05:27:49,Bhilai,All Occasions
256,C065,4,5,06-Nov-23,19:13:49,14-Nov-23,18:05:55,Suryapet,Diwali
258,C044,46,5,16-Apr-23,05:40:39,20-Apr-23,20:05:32,Vijayawada,Anniversary
260,C100,69,5,06-Mar-23,13:06:11,16-Mar-23,22:22:30,Satara,Holi
270,C084,21,5,22-Aug-23,20:21:29,01-Sep-23,16:03:59,Avadi,Raksha Bandhan
271,C039,36,5,23-Jun-23,18:27:42,30-Jun-23,18:20:05,Patna,Birthday
274,C078,41,5,02-Nov-23,06:37:51,12-Nov-23,20:53:36,Raebareli,Diwali
277,C062,34,5,23-Aug-23,19:16:40,29-Aug-23,15:50:18,Bhilai,Raksha Bandhan
285,C082,7,5,26-Feb-23,17:26:44,01-Mar-23,12:52:20,Tirunelveli,Holi
287,C011,7,5,03-Mar-23,04:54:04,06-Mar-23,15:39:57,Muzaffarnagar,Holi
294,C047,26,5,01-Mar-23,21:04:18,03-Mar-23,19:44:54,Nagpur,Holi
296,C081,70,5,01-Apr-23,11:55:14,11-Apr-23,19:33:46,Tirunelveli,Birthday
299,C091,8,5,08-Nov-23,11:51:21,17-Nov-23,13:17:51,Vellore,Anniversary
315,C063,26,5,06-Mar-23,14:21:31,09-Mar-23,19:20:21,Ambattur,Holi
316,C048,2,5,11-Feb-23,21:35:05,15-Feb-23,07:21:50,Muzaffarnagar,Valentine's Day
318,C038,26,5,07-Mar-23,12:15:49,11-Mar-23,15:59:47,Hosur,Holi
321,C049,12,5,08-Mar-23,11:27:05,17-Mar-23,09:51:43,Rampur,Anniversary
325,C091,27,5,25-Aug-23,18:30:45,04-Sep-23,20:02:37,Amritsar,Raksha Bandhan
331,C023,41,5,04-Nov-23,21:49:56,05-Nov-23,14:13:32,Patna,Diwali
332,C052,20,5,11-Apr-23,20:14:13,18-Apr-23,14:10:44,Khammam,Anniversary
333,C100,22,5,09-Feb-23,06:19:15,10-Feb-23,03:46:29,South Dumdum,All Occasions
342,C062,36,5,03-Nov-23,04:03:43,08-Nov-23,16:26:16,Salem,Birthday
344,C020,28,5,29-Aug-23,17:06:22,03-Sep-23,06:28:07,Tiruvottiyur,Raksha Bandhan
354,C087,13,5,26-Feb-23,17:25:28,06-Mar-23,09:43:32,Narasaraopet,Holi
365,C028,8,5,01-Jun-23,15:31:47,04-Jun-23,10:15:29,Agra,Anniversary
367,C010,47,5,03-Mar-23,00:44:09,12-Mar-23,15:05:03,South Dumdum,Holi
393,C087,17,5,14-Nov-23,11:01:18,22-Nov-23,16:10:46,Solapur,Anniversary
394,C028,38,5,23-Mar-23,04:26:37,31-Mar-23,19:25:58,Dewas,Birthday
396,C068,10,5,15-Mar-23,15:30:58,16-Mar-23,01:45:01,Tiruvottiyur,Birthday
397,C034,4,5,09-Nov-23,06:48:09,14-Nov-23,13:32:34,Junagadh,Diwali
401,C089,9,5,29-Aug-23,19:53:33,04-Sep-23,07:19:07,Bharatpur,Raksha Bandhan
404,C055,21,5,22-Aug-23,07:55:20,24-Aug-23,22:27:19,South Dumdum,Raksha Bandhan
413,C050,59,5,22-Aug-23,05:32:17,30-Aug-23,20:21:11,Amritsar,Raksha Bandhan
416,C006,58,5,12-Feb-23,16:41:02,17-Feb-23,09:37:01,Saharanpur,Valentine's Day
427,C042,48,5,03-Nov-23,07:56:32,13-Nov-23,22:46:12,Gudivada,Diwali
429,C007,9,5,22-Aug-23,22:46:57,31-Aug-23,12:43:52,Bahraich,Raksha Bandhan
433,C068,7,5,26-Feb-23,23:33:51,02-Mar-23,04:19:56,Amravati,Holi
445,C047,30,5,14-Jun-23,20:08:42,15-Jun-23,14:22:27,Karnal,Anniversary
446,C079,33,5,12-Feb-23,02:54:04,15-Feb-23,11:03:28,Bokaro,Valentine's Day
450,C096,39,5,02-Dec-23,07:58:05,12-Dec-23,10:09:58,Sri Ganganagar,All Occasions
451,C079,33,5,07-Feb-23,00:16:52,13-Feb-23,21:10:57,Ujjain,Valentine's Day
457,C036,22,5,27-May-23,13:55:39,29-May-23,16:38:25,Mirzapur,All Occasions
462,C069,60,5,04-Nov-23,18:10:06,13-Nov-23,14:20:14,Kirari Suleman Nagar,Diwali
465,C029,55,5,23-Aug-23,23:46:12,26-Aug-23,13:29:11,Madurai,Raksha Bandhan
470,C031,47,5,28-Feb-23,17:34:04,06-Mar-23,15:29:29,Bhavnagar,Holi
478,C003,11,5,08-Feb-23,01:11:21,09-Feb-23,09:50:19,Ambarnath,Valentine's Day
481,C044,12,5,21-Aug-23,00:00:53,25-Aug-23,18:36:25,Bhiwandi,Anniversary
484,C034,1,5,26-May-23,19:03:55,03-Jun-23,19:32:17,Morena,All Occasions
502,C099,22,5,24-Jun-23,05:33:20,30-Jun-23,00:55:44,Munger,All Occasions
509,C003,13,5,05-Mar-23,12:48:55,09-Mar-23,07:47:16,Uluberia,Holi
510,C017,54,5,08-Dec-23,13:00:05,17-Dec-23,06:14:47,Panipat,Anniversary
515,C078,14,5,21-Oct-23,23:22:39,27-Oct-23,14:59:49,Unnao,Birthday
517,C064,60,5,09-Nov-23,01:01:13,17-Nov-23,19:04:55,Aligarh,Diwali
520,C026,14,5,07-Apr-23,04:43:51,08-Apr-23,08:21:40,Mysore,Birthday
521,C062,33,5,04-Feb-23,21:00:17,08-Feb-23,02:28:38,Noida,Valentine's Day
526,C008,13,5,02-Mar-23,06:06:20,08-Mar-23,01:35:05,Bangalore,Holi
531,C029,28,5,29-Aug-23,13:32:08,07-Sep-23,08:43:11,Dehradun,Raksha Bandhan
532,C036,30,5,02-Sep-23,13:25:06,10-Sep-23,02:55:07,Bharatpur,Anniversary
538,C097,24,5,18-May-23,13:09:06,19-May-23,22:36:16,Ghaziabad,Birthday
542,C051,54,5,07-Jul-23,19:41:20,12-Jul-23,09:52:12,Satara,Anniversary
545,C083,9,5,20-Aug-23,01:54:52,26-Aug-23,08:07:19,Ratlam,Raksha Bandhan
547,C088,30,5,10-Jan-23,02:30:12,19-Jan-23,13:56:41,Ahmedabad,Anniversary
550,C023,29,5,27-Feb-23,19:28:12,05-Mar-23,17:03:39,Bettiah,Holi
561,C099,49,5,12-Feb-23,12:24:35,21-Feb-23,17:23:34,Ghaziabad,Valentine's Day
563,C077,58,5,11-Feb-23,11:43:18,19-Feb-23,05:04:29,Jorhat,Valentine's Day
572,C060,25,5,04-Jun-23,15:48:37,10-Jun-23,10:11:48,Kamarhati,Anniversary
573,C040,3,5,08-Feb-23,02:52:06,14-Feb-23,02:57:06,Thane,Valentine's Day
585,C013,63,5,26-Apr-23,18:32:41,01-May-23,01:52:06,Bhubaneswar,All Occasions
586,C068,64,5,27-Aug-23,21:04:38,04-Sep-23,16:30:39,Bilaspur,Raksha Bandhan
588,C056,49,5,04-Feb-23,06:37:00,05-Feb-23,21:21:57,Kishanganj,Valentine's Day
592,C007,47,5,07-Mar-23,03:27:03,11-Mar-23,21:41:23,Phusro,Holi
602,C042,43,5,02-Nov-23,10:17:25,11-Nov-23,06:02:00,Buxar,Diwali
606,C047,3,5,08-Feb-23,02:13:13,17-Feb-23,07:31:32,Sambalpur,Valentine's Day
608,C030,55,5,28-Aug-23,20:30:15,01-Sep-23,07:14:20,Etawah,Raksha Bandhan
609,C024,25,5,27-Oct-23,11:08:56,28-Oct-23,23:46:55,Hazaribagh,Anniversary
613,C063,4,5,10-Nov-23,17:54:34,14-Nov-23,19:18:27,Gwalior,Diwali
616,C006,44,5,08-Nov-23,23:57:57,12-Nov-23,19:20:59,Phagwara,Diwali
624,C024,53,5,29-Aug-23,09:19:59,01-Sep-23,08:29:54,Ambala,Raksha Bandhan
625,C089,63,5,23-Feb-23,21:15:42,04-Mar-23,02:46:06,Belgaum,All Occasions
626,C024,40,5,23-Sep-23,15:12:58,27-Sep-23,08:14:22,Bellary,Anniversary
628,C061,11,5,10-Feb-23,21:50:27,13-Feb-23,21:07:46,Ongole,Valentine's Day
629,C032,28,5,27-Aug-23,09:09:01,04-Sep-23,15:31:23,Sangli-Miraj & Kupwad,Raksha Bandhan
633,C031,52,5,10-Feb-23,14:44:42,15-Feb-23,05:12:46,Surat,Valentine's Day
642,C021,44,5,02-Nov-23,05:26:04,07-Nov-23,00:29:51,Kozhikode,Diwali
646,C015,38,5,13-May-23,16:30:10,23-May-23,09:16:58,Morbi,Birthday
647,C069,21,5,25-Aug-23,17:00:25,26-Aug-23,01:29:04,Anantapuram,Raksha Bandhan
659,C048,19,5,05-Feb-23,17:44:56,12-Feb-23,22:37:43,Silchar,Valentine's Day
665,C060,62,5,05-Mar-23,14:23:22,15-Mar-23,15:54:03,Akola,Holi
666,C032,26,5,02-Mar-23,09:41:06,08-Mar-23,19:28:15,Jammu,Holi
669,C035,68,5,10-Feb-23,07:11:50,17-Feb-23,09:56:42,Ludhiana,Valentine's Day
670,C057,23,5,01-Jun-23,05:47:59,10-Jun-23,05:09:00,Bhopal,Anniversary
672,C049,44,5,07-Nov-23,14:06:15,09-Nov-23,06:46:37,Saharanpur,Diwali
677,C045,37,5,04-Nov-23,07:54:01,14-Nov-23,05:32:35,Panihati,Diwali
678,C020,31,5,10-Sep-23,14:23:59,20-Sep-23,10:13:07,Jalna,All Occasions
681,C098,23,5,29-Jan-23,10:08:06,05-Feb-23,12:01:28,Nashik,Anniversary
682,C054,50,5,26-Feb-23,07:31:16,05-Mar-23,11:32:33,Hyderabad,Holi
687,C098,8,5,15-Mar-23,17:57:15,19-Mar-23,04:50:54,Raichur,Anniversary
691,C002,48,5,06-Nov-23,05:22:43,10-Nov-23,11:08:26,Naihati,Diwali
693,C041,4,5,04-Nov-23,23:48:55,07-Nov-23,05:31:27,Ghaziabad,Diwali
701,C080,41,5,07-Nov-23,10:57:34,11-Nov-23,04:56:26,Tezpur,Diwali
709,C016,53,5,29-Aug-23,04:38:05,07-Sep-23,17:29:15,Kolkata,Raksha Bandhan
710,C087,54,5,22-May-23,01:33:03,29-May-23,01:43:52,Jalna,Anniversary
712,C057,65,5,11-Jul-23,13:00:12,13-Jul-23,06:34:57,Hazaribagh,All Occasions
717,C059,67,5,25-Jun-23,06:18:32,26-Jun-23,23:20:48,Yamunanagar,Anniversary
720,C045,22,5,15-Dec-23,14:42:41,20-Dec-23,06:07:08,Vellore,All Occasions
721,C022,3,5,07-Feb-23,03:28:21,17-Feb-23,18:28:02,Vasai-Virar,Valentine's Day
722,C044,13,5,02-Mar-23,17:30:25,08-Mar-23,08:06:58,Mathura,Holi
727,C061,12,5,18-Nov-23,01:37:03,22-Nov-23,16:22:32,Anand,Anniversary
731,C083,59,5,25-Aug-23,12:01:20,02-Sep-23,11:02:31,Bulandshahr,Raksha Bandhan
736,C008,70,5,02-May-23,03:47:04,11-May-23,04:38:44,Ghaziabad,Birthday
737,C068,46,5,14-Sep-23,07:35:50,17-Sep-23,13:37:05,Bhilwara,Anniversary
738,C098,16,5,03-Mar-23,16:23:38,09-Mar-23,01:36:32,Maheshtala,Holi
739,C094,24,5,30-Jan-23,09:43:50,03-Feb-23,10:33:33,Berhampur,Birthday
741,C072,53,5,23-Aug-23,12:47:09,01-Sep-23,21:37:19,Siwan,Raksha Bandhan
742,C089,53,5,24-Aug-23,19:50:07,26-Aug-23,15:58:06,Panchkula,Raksha Bandhan
751,C084,23,5,10-Apr-23,07:12:34,15-Apr-23,01:52:34,Gandhidham,Anniversary
752,C034,3,5,10-Feb-23,11:38:01,12-Feb-23,10:35:58,Bally,Valentine's Day
755,C037,6,5,27-Feb-23,16:33:26,06-Mar-23,02:16:52,Aurangabad,Holi
758,C043,40,5,16-Oct-23,09:12:26,20-Oct-23,03:46:58,Ajmer,Anniversary
759,C084,48,5,02-Nov-23,06:12:14,11-Nov-23,06:06:56,Bathinda,Diwali
761,C008,24,5,18-Apr-23,03:25:13,25-Apr-23,11:53:46,Ambala,Birthday
772,C085,35,5,01-Mar-23,05:03:06,04-Mar-23,08:20:05,Machilipatnam,Holi
774,C051,65,5,17-Jun-23,21:28:21,27-Jun-23,03:01:20,Begusarai,All Occasions
783,C024,55,5,28-Aug-23,04:31:27,29-Aug-23,05:10:51,Visakhapatnam,Raksha Bandhan
785,C052,47,5,26-Feb-23,17:41:34,01-Mar-23,13:09:23,Jodhpur,Holi
793,C095,58,5,05-Feb-23,17:37:16,15-Feb-23,01:28:17,Mirzapur,Valentine's Day
798,C043,30,5,17-Dec-23,17:35:18,26-Dec-23,01:52:09,Sultan Pur Majra,Anniversary
799,C084,32,5,22-Oct-23,01:50:09,01-Nov-23,20:22:26,Patna,Birthday
800,C014,24,5,17-Jun-23,21:50:22,21-Jun-23,07:12:59,Machilipatnam,Birthday
811,C020,14,5,18-Oct-23,12:04:11,25-Oct-23,21:55:52,Bellary,Birthday
814,C094,47,5,05-Mar-23,01:59:20,14-Mar-23,04:41:16,Kumbakonam,Holi
819,C052,55,5,22-Aug-23,13:05:23,24-Aug-23,01:32:28,Kottayam,Raksha Bandhan
822,C075,41,5,09-Nov-23,03:23:06,12-Nov-23,04:15:17,Indore,Diwali
825,C044,25,5,30-Jun-23,10:50:24,01-Jul-23,18:08:04,Nellore,Anniversary
826,C077,16,5,02-Mar-23,20:02:07,08-Mar-23,06:16:18,Udaipur,Holi
831,C079,56,5,24-May-23,18:41:33,03-Jun-23,19:06:17,Rajahmundry,Anniversary
834,C029,60,5,03-Nov-23,18:35:20,12-Nov-23,14:01:49,Thrissur,Diwali
836,C020,44,5,08-Nov-23,02:36:05,11-Nov-23,03:11:27,Tumkur,Diwali
837,C036,14,5,19-Dec-23,12:57:12,21-Dec-23,00:00:36,Raebareli,Birthday
841,C041,26,5,07-Mar-23,06:16:00,12-Mar-23,23:16:39,Bhalswa Jahangir Pur,Holi
845,C032,57,5,17-Oct-23,18:51:16,25-Oct-23,02:55:03,Hospet,Birthday
855,C033,57,5,07-Aug-23,23:50:11,17-Aug-23,20:15:43,Allahabad,Birthday
866,C021,15,5,10-Aug-23,20:06:37,11-Aug-23,08:02:41,Medininagar,Anniversary
869,C032,3,5,06-Feb-23,10:03:19,11-Feb-23,23:16:28,Hazaribagh,Valentine's Day
870,C018,43,5,05-Nov-23,15:13:46,07-Nov-23,06:49:39,Pallavaram,Diwali
877,C041,46,5,09-Mar-23,23:16:16,18-Mar-23,12:27:24,Hazaribagh,Anniversary
880,C044,34,5,29-Aug-23,22:14:26,31-Aug-23,04:54:50,Purnia,Raksha Bandhan
897,C031,34,5,25-Aug-23,07:53:21,01-Sep-23,14:02:50,Dhule,Raksha Bandhan
902,C025,32,5,22-Mar-23,13:29:55,24-Mar-23,12:24:01,Bidar,Birthday
908,C090,28,5,22-Aug-23,15:51:25,24-Aug-23,22:50:08,Ozhukarai,Raksha Bandhan
913,C092,56,5,10-Dec-23,18:39:24,12-Dec-23,05:37:07,Bharatpur,Anniversary
919,C038,35,5,28-Feb-23,08:27:53,04-Mar-23,00:05:29,Delhi,Holi
934,C022,27,5,22-Aug-23,00:41:04,23-Aug-23,08:38:52,Agartala,Raksha Bandhan
935,C046,27,5,20-Aug-23,09:38:15,29-Aug-23,17:18:37,Kurnool,Raksha Bandhan
956,C037,34,5,29-Aug-23,04:52:24,03-Sep-23,14:53:28,Sagar,Raksha Bandhan
961,C016,1,5,01-Feb-23,06:49:28,10-Feb-23,20:54:38,Gulbarga,All Occasions
962,C028,17,5,29-Sep-23,11:55:53,01-Oct-23,16:15:08,Kalyan-Dombivli,Anniversary
980,C067,12,5,21-Sep-23,20:35:26,30-Sep-23,00:43:39,Bijapur,Anniversary
991,C054,36,5,09-Feb-23,15:01:12,15-Feb-23,17:16:56,Barasat,Birthday
993,C082,61,5,08-Oct-23,21:34:06,14-Oct-23,15:55:58,Kishanganj,Anniversary
996,C077,25,5,13-May-23,06:55:09,19-May-23,05:41:20,Faridabad,Anniversary
8,C097,43,3,08-Nov-23,19:20:02,14-Nov-23,08:44:45,Morena,Diwali
10,C099,56,3,26-Feb-23,00:17:26,08-Mar-23,20:47:43,Ambala,Anniversary
12,C097,38,3,12-Jul-23,08:28:56,20-Jul-23,23:34:57,Karnal,Birthday
13,C024,20,3,24-Feb-23,16:47:16,04-Mar-23,02:27:37,Gandhidham,Anniversary
16,C013,20,3,16-Feb-23,15:06:11,20-Feb-23,22:14:21,Khammam,Anniversary
23,C041,12,3,05-May-23,05:28:33,06-May-23,12:12:24,Ludhiana,Anniversary
24,C018,42,3,25-Jul-23,05:10:42,03-Aug-23,07:57:35,Durg,All Occasions
25,C091,30,3,21-Jul-23,10:46:57,24-Jul-23,14:28:42,Panipat,Anniversary
26,C040,6,3,06-Mar-23,05:03:06,12-Mar-23,06:06:11,Amroha,Holi
28,C088,42,3,05-May-23,03:25:25,10-May-23,07:55:04,Guwahati,All Occasions
33,C047,8,3,15-Apr-23,01:37:27,25-Apr-23,02:13:27,Amroha,Anniversary
38,C067,37,3,11-Nov-23,12:30:28,14-Nov-23,12:24:51,Indore,Diwali
43,C046,49,3,12-Feb-23,22:31:16,16-Feb-23,02:47:47,Sambalpur,Valentine's Day
63,C056,42,3,25-Jun-23,06:22:38,26-Jun-23,15:40:04,Munger,All Occasions
72,C058,26,3,03-Mar-23,15:49:26,12-Mar-23,17:34:10,Bally,Holi
74,C024,31,3,01-Jan-23,20:55:22,07-Jan-23,09:02:03,Shivpuri,All Occasions
77,C028,42,3,05-Aug-23,01:07:11,13-Aug-23,16:20:52,Kanpur,All Occasions
82,C038,70,3,04-Aug-23,22:02:05,05-Aug-23,14:08:13,Gwalior,Birthday
90,C088,41,3,09-Nov-23,20:54:16,18-Nov-23,17:48:35,Shahjahanpur,Diwali
96,C099,25,3,14-Mar-23,15:00:21,23-Mar-23,08:56:06,Latur,Anniversary
99,C050,38,3,04-Nov-23,14:00:46,05-Nov-23,15:44:38,Burhanpur,Birthday
102,C081,10,3,28-Oct-23,19:34:14,06-Nov-23,07:06:35,Ozhukarai,Birthday
103,C097,18,3,01-Feb-23,12:24:59,08-Feb-23,22:51:39,Ichalkaranji,Birthday
104,C082,51,3,29-Dec-23,01:45:29,05-Jan-24,00:15:28,Ahmednagar,All Occasions
107,C041,4,3,06-Nov-23,10:18:07,12-Nov-23,14:20:21,Gorakhpur,Diwali
111,C009,8,3,21-Jun-23,14:18:57,25-Jun-23,21:03:57,Ramgarh,Anniversary
112,C023,37,3,11-Nov-23,06:36:04,14-Nov-23,15:50:59,Kochi,Diwali
113,C032,1,3,14-Nov-23,15:30:30,23-Nov-23,04:26:47,Bulandshahr,All Occasions
116,C009,4,3,11-Nov-23,14:28:05,20-Nov-23,05:25:26,Howrah,Diwali
117,C033,59,3,20-Aug-23,18:50:05,22-Aug-23,03:43:01,Loni,Raksha Bandhan
121,C048,33,3,05-Feb-23,02:18:55,09-Feb-23,07:29:31,Guntur,Valentine's Day
128,C065,12,3,06-Mar-23,16:50:28,13-Mar-23,15:11:19,Kochi,Anniversary
148,C046,24,3,05-Dec-23,02:09:08,07-Dec-23,08:57:38,Gopalpur,Birthday
149,C008,5,3,06-Oct-23,23:23:09,09-Oct-23,20:09:12,Mangalore,All Occasions
155,C023,23,3,01-May-23,14:46:58,06-May-23,00:00:30,Sambhal,Anniversary
157,C019,35,3,26-Feb-23,12:44:17,06-Mar-23,11:35:44,Thiruvananthapuram,Holi
159,C095,43,3,09-Nov-23,21:31:39,11-Nov-23,04:55:56,Davanagere,Diwali
160,C037,36,3,02-Jun-23,00:28:57,10-Jun-23,07:52:59,Moradabad,Birthday
161,C054,58,3,13-Feb-23,03:08:06,14-Feb-23,23:12:01,Karaikudi,Valentine's Day
162,C050,55,3,27-Aug-23,06:14:31,05-Sep-23,15:53:45,Barasat,Raksha Bandhan
166,C035,4,3,07-Nov-23,23:05:28,10-Nov-23,06:12:46,Madanapalle,Diwali
171,C071,54,3,30-Jun-23,11:47:49,08-Jul-23,12:27:06,Tiruvottiyur,Anniversary
174,C048,4,3,03-Nov-23,15:39:20,13-Nov-23,18:06:46,Malda,Diwali
179,C078,47,3,28-Feb-23,15:16:02,10-Mar-23,14:31:07,Vijayanagaram,Holi
183,C082,48,3,09-Nov-23,18:11:41,11-Nov-23,15:29:26,Bahraich,Diwali
184,C027,52,3,11-Feb-23,21:34:53,20-Feb-23,05:00:29,Dharmavaram,Valentine's Day
191,C012,24,3,12-Oct-23,18:13:06,17-Oct-23,08:50:02,Etawah,Birthday
206,C099,68,3,11-Feb-23,22:12:16,13-Feb-23,12:42:01,Ulhasnagar,Valentine's Day
214,C099,13,3,01-Mar-23,07:49:55,07-Mar-23,08:27:25,Durgapur,Holi
220,C001,26,3,06-Mar-23,12:26:54,15-Mar-23,14:41:52,Jalandhar,Holi
229,C079,49,3,11-Feb-23,20:55:38,20-Feb-23,09:32:50,Junagadh,Valentine's Day
230,C053,64,3,27-Aug-23,08:27:50,01-Sep-23,01:35:49,Mehsana,Raksha Bandhan
231,C093,64,3,24-Aug-23,09:15:18,28-Aug-23,21:13:01,Proddatur,Raksha Bandhan
232,C044,28,3,22-Aug-23,12:06:09,23-Aug-23,09:00:02,Nadiad,Raksha Bandhan
239,C088,27,3,29-Aug-23,08:33:45,06-Sep-23,13:23:08,Gurgaon,Raksha Bandhan
244,C041,65,3,20-Mar-23,15:06:01,30-Mar-23,07:06:40,Guntakal,All Occasions
245,C020,50,3,05-Mar-23,06:25:26,11-Mar-23,09:30:30,Noida,Holi
257,C077,21,3,22-Aug-23,15:42:59,24-Aug-23,22:39:39,Chinsurah,Raksha Bandhan
261,C041,37,3,06-Nov-23,14:03:50,12-Nov-23,20:17:47,Malegaon,Diwali
262,C038,49,3,07-Feb-23,08:05:16,11-Feb-23,01:06:57,Tirunelveli,Valentine's Day
264,C010,52,3,09-Feb-23,05:35:19,18-Feb-23,15:43:46,Asansol,Valentine's Day
